ruwana wichqay	cerrar sesión		2_76365
yaykuna sananpa	código de acceso		13679_277388
qarakuq	servidor		13683_110861
kasqampa yupin	código de área		13698_14395
huñuy	compilación		13724_24639
ActiveX patachaq	control ActiveX		13726_261538
k'utmukunaq siq'in	gráfico de barras		13742_19852
wara siqi	gráfico de barras		13742_210086
mapa de bits	mapa de bits		13747_21789
tupaqnin	complemento		13776_5615
iskay ñitiy	pulsar dos veces		13788_213533
karunchay	alejar		13805_135723
llankaq rapi	hoja activa		13821_137076
Chaylla yaykunapaq llankana siqi	Barra de herramientas de acceso rápido		13829_237385
wiñarikuq listapa tawa kuchun	cuadro de lista desplegable		13835_141250
Hawmpi qillqay	modo de sobrescritura		13842_253769
yanapay	ayuda		13846_61010
rawkanariy	digitalizar		13863_107546
uyan qhawarichiq	emoticono		13865_185672
purinapaq	pista		13873_122536
llank'anakunaq k'utmunpa p'uqanan	botón de la barra de tareas		13874_120089
chuyanchay	depurar		13883_43673
programakuna sunturmanta ch'antinapaq programa 	software que instala varios programas		13894_297011
atipay allichay	ajuste de ganancia		13902_142582
hatun niraq	de banda ancha		13920_23913
Windows.nisqamanta pantayninkunaq willariynin	Informe de errores de Windows		13926_299909
akllay	seleccionar		13946_109605
Llankanakuna tawakuchu	Cuadro de herramientas		13947_545693
llaqtapa kasqampi llika	red de área local		13968_2588
LAN	LAN		13968_2587
llankaqkunapa llika	red de la compañía		13968_346908
maskana	búsqueda		13988_108570
ñit'irayay	mantener presionado		13995_214141
iñiypa kasqan	Centro de confianza		13996_184176
mouse suyachiy	mantener el puntero		14003_62649
apaykachana telefono	teléfono móvil		14014_234427
Webpi Jallich'aynin	Archivo en línea		14017_1136237
Ayllun patachaq	Control parental		14024_236975
kampu siqi	campo de fila		14035_231976
Yuyay pane ñisqa	panel de criterios		14041_139645
huchuy qelqa	texto no cifrado		14059_92790
mana pakasqa qillqasqa	texto no cifrado		14059_92791
imallanpas	recurso		14106_234578
3-D pirqakuna pampa ima	paredes y piso en 3-D		14115_136764
imayna llamkana kamachiq	administrador del sistema		14125_118591
kamachiq	administrador		14125_118592
qallaririchiy	inicializar		14130_66817
CPU	CPU		14139_29473
ruraq	procesador		14139_310137
ruwakamuypa chawpikaq ñannin	unidad central de procesamiento		14139_29472
chaskina sutinchasqa	código postal		14147_93948
Rawkanasqa Id	Id. digital		14148_140884
runapa huchuy willakuynin	nota personal		14178_1511499
Paqarimuymanta willakuy	datos de origen		14189_233405
rawkanawan yupichay	firmar digitalmente		14194_45889
qawachikuq hatun imakuna	superíndice		14200_117651
ñawpa-ñiqichay	pedido por adelantado		14211_213519
Llankanakuna waqaycheq	Protección del sistema		14219_310257
PivotChartpa willakuynin	informe de gráfico dinámico		14232_231970
qawakuna willakuykuna waqaychana	base de datos reflejada		14237_169312
megabyte	megabyte		14238_2823
MB	MB		14238_2822
rawkanasqa	digital		14241_45676
pi kasqan llullay	suplantar identidad (spoofing)		14244_115576
3-D imayna kasqan	efecto 3D		14246_343618
s	justificar		14256_72076
qillqaynin	edición		14269_49251
llamk'ana k'uchu tayqa	archivo de área de trabajo		14280_231981
kusirikunapaq	entretenimiento		14303_346950
huñunakuy	reunión		14314_358367
DPI allichay	ajuste de PPP		14315_321123
blog	blog		14319_210479
web log	blog		14319_210480
log nisqa	blog		14319_308302
licencia kamachiykuna	términos de licencia		14320_237049
sapa kamapaq qawana llika	red privada virtual		14343_6032
VPN	VPN		14343_6033
tinkisqa	conexión		14353_37954
Windows llankaypi rikchaykuna waqaychanapaq mirachiy	Copia de seguridad de imágenes del sistema de Windows		14355_361198
haykuna	punto de acceso		14359_268803
llamkay wichqay	cerrar sesión		14377_112657
AAL	AAL		14378_211543
ATM capapa kanichiynin	capa de adaptación ATM		14378_211542
kacharisqa niraq	forma libre		14383_232521
upayay	sordera		14386_234754
spammer nisqa	spammer		14397_351596
3DES	3DES		14408_232426
Kimsachasqa DES	Triple DES		14408_369856
Kimsachasqa Llapampaq Willakuykuna	3DES (Triple Data Encryption Standard)		14408_232425
Llank'arinapaq tawlan	diseño de tabla		14409_347940
imayna kaqpa sayaynin	nivel de esquema		14423_232843
willaqpa tawa kuchun	recuadro informativo		14434_179456
watiqay harkaq software	software antispyware		14438_1511720
yana seqe	línea viuda		14488_132778
char nisqa	char		14493_359702
yachachikuy	instrucción		14496_67901
kuyuq ruwana	control deslizante		14509_113733
uchuyachiy	minimizar		14511_2148
Windows Kuyuq Chawpi	Centro de movilidad de Windows		14528_276550
iskay churana	archivo binario		14534_21247
PivotTablep listan	lista de tabla dinámica		14543_231973
iskay kaq ñitina mausepi	botón secundario del mouse		14562_318120
iñiy	confianza		14574_123914
robot	bot		14609_183539
ñitina	botón		14610_25574
sasachakuy allichaq	solucionador de problemas		14611_123792
lluqiman	flecha izquierda		14612_73965
Qallariymanta tukuykama imayna kana	Protocolo punto a punto		14617_93343
PPP	PPP		14617_93344
S/MIME ceqaqchaq	confirmación S/MIME		14619_136078
Windows Update	Windows Update		14620_155874
Windows Tupuq	Calculadora de Windows		14622_1961688
Microsoft Tupuq	Calculadora de Microsoft		14622_2157320
Tupuq	Calculadora		14622_321896
Kikin qallar suti	Nombre de recursos uniforme		14623_149387
URN	URN		14623_149388
qillqasqa ruwachiy	propiedad de archivo		14659_141997
web ñisqap chaypi jallwaq kachkan	proveedor de presencia web		14661_132278
huntapasqa	aprender jugando		14677_258947
llamkaq qawana tuqu	ventana activa		14684_8743
chusu	punto		14700_93093
Cinta	Cinta		14701_545433
urapakuq chimpuy	sangría negativa		14713_83924
ñawinchanapaq qata	panel de lectura		14719_232413
kinranpa	horizontal		14721_73296
qatipaya yupa	número de serie		14726_110688
ruwana	sesión		14727_168754
akllay	elegir		14733_31389
twip	twip		14738_124210
kinrampa seqe	línea horizontal		14761_143306
yupasutuy	cuentagotas		14763_141747
quy	asignar		14766_11020
imayna kasqan yupichaq	marcador de posición		14775_146423
qipi	paquete		14776_152717
Exchange ActiveSync	Exchange ActiveSync		14803_307427
gadget nisqa	gadget		14821_234960
muyuq kampu	espacio en disco		14822_187314
XML	XML		14842_1209
yupay harkay	bloqueo de cuenta		14845_157682
hunt'aparina	relleno		14848_73800
qullanaq siqin	línea guía		14848_253634
ñupuspa yachay tariy	aprendizaje táctil		14886_321129
URL	URL		14888_125492
webpa kasqan	dirección web		14888_125493
kusas OLE	Objeto OLE		14889_87410
kuqmupa pantaynin	barra de error		14897_231964
kuraq	signo de mayor que		14905_318357
kurqa sanampa	corchete angular de cierre 		14905_318422
qillqachakun	suscripción		14908_233136
qelqachakuy llamkanapi	suscripción desde la aplicación		14908_2254367
mañanapaq tapuykuna	directiva de permisos		14913_184047
Web tapukuy	consulta web		14924_149902
x-coordinada ñisqa	coordenada x		14943_134986
hawaman achuriy	desplazamiento lateral		14944_262698
qawaqpa kanan 	punto de control		14948_245218
sapa-kutin	constante		14953_38284
hatunyachiy	maximizar		14954_78795
n llankaq	operador n		14964_265317
n-llankaq	operador n		14964_265316
ñawinchanallapaq	solo lectura		14967_98978
achka sullka ruwanakuna tampu	contenedor multiproceso		14968_82756
MTA	MTA		14968_592384
Excel Mach'inap Ruwayninkuna	Funciones de cubos de Excel		14970_237382
llikapa kanan	unidad de red		14974_84430
yupaychasqa willariy wallpama	tipo de datos enumerado		14984_141508
mancharichiypa tawak'uchun	cuadro de alerta		14990_10614
P2 umanchasqa	encabezado P2		14999_397227
willakupa umachaynin	encabezado de mensaje		14999_80016
suti qillqay kamachaq	configuración de firma		15015_184144
yupasqa pampa	campo calculado		15026_26543
qillqay	redactar		15037_36858
SHA	SHA		15049_263067
Sistema allichaq ruraq	Agente de mantenimiento del sistema		15049_263066
kaklla simi taqin	diccionario de sinónimos		15086_5913
qawapayaq mana allichasqa	control deshabilitado		15088_140956
qillqasqawillakuq llank'anan pampan	Área de trabajo de documento		15098_322615
yapamanta munasqaykiman qallariy	reinicio flexible		15111_131155
unanchaypa imayna kasqan	efecto de animación		15125_415472
masi	asociado		15132_565851
ingenieria llapa runapaq	ingeniería social		15136_493916
pilakunaq kawsaynin	duración de la batería		15144_346594
Llika tupachina	conexión de red		15181_84318
qallariq	iniciador		15190_235033
tupaq	compatible		15201_36468
hatunkasqan	ancho de banda		15209_19668
hatun ñawpaq willakuy	leyenda		15239_74270
tupuyusqa	prueba		15242_1992951
yachay churasqakuna	registro de datos		15253_140165
makiwan tuqpina	función táctil		15254_1986304
ASCII	ASCII		15255_14930
American Standard Code for Information Interchange	American Standard Code for Information Interchange		15255_14931
webpa imankuna	Elemento web		15266_188012
rak'i web	elemento web		15266_2487036
allcharichiy	rebobinar		15267_318744
PRF	PRF		15270_262442
yaykunapa kamachiq	función pseudoaleatoria		15270_262441
tikrasqa kinranpa sananpa	barra diagonal inversa		15279_19094
90 muyuriy	Girar 90°		15292_306404
musuqmanta qallarichiy	reiniciar		15294_99514
PivotTable sullk'a tukuynin	subtotal de tabla dinámica		15309_231975
rurapaslla qapiy	fácil de usar		15317_126865
kawsarichiy	restaurar		15335_104365
qillqapa ruraynin	procesador de textos		15350_134128
Kikin, Kallpayuq, hamutariq chaymanta kichasqa	Auténtico, Enérgico, Reflexivo y abiertO		15359_234915
Aero	Aero		15359_234913
llamkana	trabajo		15369_71392
Lluqsiy HTML qayarninmanta	Salir del código fuente HTML		15382_232822
placa base	placa base		15383_2482719
qiparikurun yapamanta kutipaynin	retraso de la repetición		15386_154964
aska apachiqkuna utaq chaskiqkuna	grupos de envío o recepción		15396_148352
pachakchasqa ch'iku	signo de porcentaje		15430_91737
ukhu rikch’aykuna	imágenes gráficas del fondo		15438_137719
cubo	cubo		15452_41272
winkusqa sinrip pampan	campo de columna		15456_231959
pantaykunapa qhawariynin	comprobación de errores		15457_461710
WAU	WAU		15459_303760
Windows sapa kutilla tupachiy	Windows Anytime Upgrade		15459_303758
kichana	clave		15476_72470
kilobit	kilobit		15479_72110
metro kamaq	métrica		15482_174671
mana munasqa correo eletronico	correo no deseado		15490_2510
mana munasqa correu	spam		15490_2511
UCE	UCE		15490_2512
rantikuq correo electronico mana mañakuska	correo electrónico comercial no solicitado		15490_359640
mana munasqa correo	correo no deseado		15490_317516
llikanasqa willanakuykuna 	topología		15495_122349
topologia kutirichiq	topología de replicación		15495_359274
llankay ruway	ejecutar		15496_52207
rimanakuy	chat		15500_30811
kikillan llankaq	automático		15503_346593
suni kampu llika	red de área extensa		15510_131116
WAN	WAN		15510_131115
wañuchisqa	apagado		15518_112419
muyurisqa qelqa	gráfico circular		15527_92285
quntachiqpa sananpan	carácter de relleno		15528_143949
llapan ruwaqpa qarakuynin	servidor multimedia		15538_79326
hawa pantalla	pantalla externa		15546_245222
yapa pantalla	pantalla adicional		15546_236969
willakachaynin	publicación		15549_316259
tapuna	consulta		15551_96356
Windows Churaypi Tupaykuna Chiqaqchaq	Asesor de compatibilidad de instalación de Windows		15576_1598843
willaymanta yanapaq	servidor de correo		15588_779063
web siqisqap qhawaynin	vista de diseño web		15606_545686
SPACEBAR	barra espaciadora		15617_114918
SPACE	barra espaciadora		15617_2572182
Hatun qelqa imayna apachina	Protocolo de transferencia de hipertexto		15629_1990
http	http		15629_1988
HTTP	HTTP		15629_1989
paqarina	matriz		15631_14573
riqsichikuy	identidad		15641_231839
digital riqsichikuy	identidad digital		15641_2772978
Karu Hanparaman Tinkichiy	Conexión a Escritorio remoto		15693_544352
Teletipopa cintan	Cinta de teletipo		15696_262651
target diagram	diagrama de círculos concéntricos		15699_149134
Windows nisqamanta kutirichimuy	Entorno de recuperación de Windows		15705_310984
Windows RE	Windows RE		15705_1765008
ñupunapaq kamachiy	licencia digital		15722_303759
waqcha	huérfano		15731_232858
huk clic	un solo clic		15733_113242
uchuy akllana	submenú		15738_61415
iskayñiqisqa menu	menú secundario		15738_61414
qhawachikluypi menu	menú en cascada		15738_61413
kamachikuq menu	menú jerárquico		15738_61412
willaykuna chaninchay	validación de datos		15739_140279
sutipachisqa	sobrenombre		15742_85088
willariypa k'uchun	área de datos		15753_140189
puchun	cola		15758_96558
tupaqpa kipun	archivo de concordancia		15784_139149
chantiy	conectar		15795_160318
Kikillanmanta kipukuq	Autoarchivar		15796_233422
allinyachisqa	mejorado		15804_346948
sutichasqapa yupin	símbolo de marca registrada		15806_319154
qawanapaq qata	panel de navegación		15834_83662
yaykunan	entrada		15847_51369
carru	carro		15850_1056053
rakinasqa imakuna	carácter separador		15855_148370
hunt'a yuyay	memoria agotada		15861_87814
Warmakuna Harkaq	Seguridad familiar		15871_307398
yachay qatinapaq	guión		15886_63086
imayna ruwanapaq	plantilla de diseño		15921_140658
t’iktuman kuyuyta churanapaq	opción de efectos de diagrama		15928_140842
rapipa horan	hora de página		15930_299912
tarikuykunaq k'utmun	barra de direcciones		15934_323624
yuyayniq saywitin	asignación de memoria		15940_332197
uyarinapaq kachariy	licencia por volumen		15949_310991
llank'ashak kusas	objeto activo		15960_8298
tinkuypa kutichiynin	respuesta a la reunión		15977_178721
impresora	impresora		16003_94837
dispositivu imprimiypaq	dispositivo de impresión		16003_94838
BitLocker	BitLocker		16006_266797
sakamasqa Bitlocker	Cifrado de unidad BitLocker		16006_276546
UDF	UDF		16034_269340
Tiqsi-muyu discuq kamaynin	formato de disco universal		16034_269339
mallinallapaaq	provisional		16066_236645
mana rikukuq	invidencia		16068_234748
simikuna apanapaq	carácter de control		16076_139513
tawak'uchup raphin	hoja de gráfico		16082_138434
kamachinan	dominio		16113_47604
qellqapa imayna kanan	formato de texto		16144_121017
SmartArt graphic	elemento gráfico SmartArt		16150_545626
francesmanta puchuy	sangría francesa		16158_143130
kallpa wakichana	plan de energía		16161_94159
kallpa wakichana	plan de energía		16161_234782
siqi kantu	margen de encuadernación		16176_143109
Siq'isqa chiqaqchasqa	Firmado - comprobado		16190_184195
utqay ruwaykuna	Estilos rápidos		16223_237296
Waqaychanapaq sutichana	etiqueta de seguridad		16225_232420
chikllay sayt'u	rectángulo de selección		16250_174770
siqichay	alinear		16263_10901
hatunkunapaq allichasqa	habilitado para macros		16276_263115
yachaykuna qelqa	formulario de datos		16315_140027
yachay taqi	biblioteca		16317_209984
tawla	tabla		16319_119343
haykunapaq kaq	celda de entrada		16322_143641
sapa qelqapi	interletraje		16327_163539
uchuy imakuna yachanapaq	subíndice		16337_117385
Excelpa Uywaqa Ñawinchakun	Servidor de cálculo de Excel		16338_210449
huk sutiwan llullakuy (phishing)	suplantación de identidad (phishing)		16358_210492
PAC	PAC		16365_338565
allin imakunamanta sullulliy	certificado de atributos de privilegios		16365_338551
IntelliSense	IntelliSense		16414_583814
qutuchasqa wachu siqisqa	gráfico de columnas agrupadas		16438_584264
100% tawqasqa wara siqisqa	gráfico de columnas 100% apiladas		16439_584277
3-D chiqan sinrip tawak'uchu	gráfico de columnas 3D		16440_584278
suqu tawak'uchu	gráfico cilíndrico		16441_584279
ququruchu tawak'uchu	gráfico cónico		16442_584280
Pikchup tawak'uchun	gráfico piramidal		16443_584281
yaku hawanpi tuytuq sinru siqi	gráfico de columnas flotante		16444_584282
100% tawqasqa wara t'iktutaypa	gráfico de barras 100% apiladas		16445_584286
kinranpa ch'utu siqi	gráfico de cono horizontal		16446_584288
kimranpa pikchu tawak'uchu	gráfico de pirámide horizontal		16447_584290
kinranpa muyu siqi	gráfico de cilindro horizontal		16448_584291
Tapukuypa sayaynin	área del formulario		16460_584850
qutuchasqa wara siqisqa	gráfico de barras agrupadas		16465_588928
chaki muyusqa siq'isiqi	gráfico circular con subgráfico circular		16466_588929
wara muyusqa siq'isiqimanta	gráfico circular con subgráfico de barras		16467_588930
misk'i t'antap rak'iy tawak'uchu	gráfico circular seccionado		16468_588931
qhallasqa tawak'uchu	gráfico de dispersión		16469_588932
xy rikch’ay	gráfico XY		16469_588933
mañaku	permiso		16494_592341
STA	STA		16496_592344
huk ruwanalla tampu	contenedor uniproceso		16496_592343
pampa rikch’ay	gráfico de superficie		16504_592353
suyaspa	pendiente		16505_592354
tawak'uchup muyuynin	gráfico de contorno		16506_592355
