Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Cungaimanda angelhua pariju ashca angelguna ricurimunauca, Diosta alabasha ninauca:	De repente apareció con el ángel una multitud de las huestes celestiales, que alababan a Dios y decían	b.LUK.2.13
Dios sumacyachishca achu ahua pachai, cai pachais ganaslla, runaunaj ali munai achu.	¡Gloria a Dios en las alturas, y en la tierra paz entre los hombres de buena voluntad	b.LUK.2.14
Angelguna paigunajmanda ahuama risha, cuirajguna paigunapura ninauca: Acuichi Belenma, imasna ashcaras ricungaj, Señor ñucanchira ricuchishcara.	Aconteció que, cuando los ángeles se fueron de ellos al cielo, los pastores se decían unos a otros:  Pasemos ahora mismo hasta Belén y veamos esto que ha sucedido, y que el Señor nos ha dado a conocer	b.LUK.2.15
Shinasha uctalla shamunauca, Mariaras Joseras tupanaucami, huahuaras huagra micuna batiai sirijta.	Fueron de prisa y hallaron a María y a José, y al niño acostado en el pesebre	b.LUK.2.16
Huahuara ricusha, angelguna huahuamanda cuentashcara paigunama rimanauca.	Al verle, dieron a conocer lo que les había sido dicho acerca de este niño	b.LUK.2.17
Tucui uyajgunaga cuirajguna cuentashcara uyasha manzharinauca.	Todos los que oyeron se maravillaron de lo que los pastores les dijeron	b.LUK.2.18
Maríaga cai tucuira paihua shungüi iyarisha huacachica.	pero María guardaba todas estas cosas, meditándolas en su corazón	b.LUK.2.19
Borregora cuirajguna tigranauca, Diosta alabasha tucui paiguna uyashcamandas ricushcamandas, paigunara rimashcasna.	Los pastores se volvieron, glorificando y alabando a Dios por todo lo que habían oído y visto, tal como les había sido dicho	b.LUK.2.20
Pusaj punzha pactanjpi huahuara circuncisionda rangaj, paita Jesús shutichinauca, cai shutira angelmanda cushca ajpi huahua manara tupajllaira icsai.	Cuando se cumplieron los ocho días para circuncidar al niño, llamaron su nombre Jesús, nombre que le fue puesto por el ángel antes que él fuese concebido en el vientre	b.LUK.2.21
Huarmi armana punzhauna pactarijpi Moisespa ley shimii nishcasna, huahuara pushamunauca Jerusalenma, Señorma ricuchisha cungaj.	Cuando se cumplieron los días de la purificación de ellos conforme a la ley de Moisés, llevaron al niño a Jerusalén para presentarle al Seño	b.LUK.2.22
Imasna Señorba ley shimii quillcashca tian: Tucui icsamanda ñaupa llucshij cari huahua Diospa ñaupajpi santo nishca chicanyachishca angami, nisha.	(así como está escrito en la ley del Señor: Todo varón que abre la matriz será llamado santo al Señor	b.LUK.2.23
Shinallara Señorba ley shimii quillcashcasna, sacrificiora rangaj rinauca, ishqui urpira cusha, mana ajpi ishqui paloma huahuara.	y para dar la ofrenda conforme a lo dicho en la ley del Señor: un par de tórtolas o dos pichones de paloma	b.LUK.2.24
Santo Espíritu paita yachachica: Can manara huañujllaira Señor Ajllashca Ruñara ricungui, nisha.	A él le había sido revelado por el Espíritu Santo que no vería la muerte antes que viera al Cristo del Señor	b.LUK.2.26
Simeón huahuara apica paihua rigrai, Diosta bendiciasha nica:	Simeón le tomó en sus brazos y bendijo a Dios diciendo	b.LUK.2.28
Cuna Señor canda sirvijta cushi shunguhua dispiringui, camba shimii rimashcasna.	Ahora, Soberano Señor, despide a tu siervo en paz conforme a tu palabra	b.LUK.2.29
Ñuca ñahuihua camba quishpichinara ricushcani.	porque mis ojos han visto tu salvació	b.LUK.2.30
Caita tucui runauna ñaupajpi alichishcangui;	que has preparado en presencia de todos los pueblos	b.LUK.2.31
Velara Gentilgunara punzhayachingaj, camba Israel nishca runauna sumajtas.	luz para revelación de las naciones y gloria de tu pueblo Israel	b.LUK.2.32
José Jesuspa mamandi tucuira huahuamanda rimashcaunara uyasha manzharinauca.	Su padre y su madre se maravillaban de las cosas que se decían de él	b.LUK.2.33
Simeón paigunara bendiciaca, paihua mama Mariara nica: Cai huahua churashcami ashca Israelbi tiaj runauna urmangaj shinallara sicangajpas, shu ricurinas, maspas ashca runauna paimanda manali rimanaunga,	Y Simeón los bendijo y dijo a María su madre:  He aquí, éste es puesto para caída y para levantamiento de muchos en Israel y para señal que será contradicha	b.LUK.2.34
ashca shunguunai iyashcauna ricurinauchu	para que sean descubiertos los pensamientos de muchos corazones	b.LUK.2.35
Maspas shu espara camba almara pasajta tucsingami.	Y una espada traspasará tu misma alma	b.LUK.2.35
Chi huasha, pusaj chunga chuscu huata tupura huaccha huarmi aca	y había quedado como viuda hasta ochenta y cuatro años	b.LUK.2.37
Templo nishca Diospa huasimanda mana llucshijchu aca, tutandi punzhandi Diosta sirvisha, sasisha, mañasha.	No se apartaba del templo, sirviendo con ayunos y oraciones de noche y de día	b.LUK.2.37
Cai huarmi chi ratollai shamusha Diosta agrasica, cai huahuamanda tucui Jerusalembi tiau quishpinara chapajgunama rimaca.	En la misma hora acudió al templo y daba gracias a Dios, y hablaba del niño a todos los que esperaban la redención en Jerusalén	b.LUK.2.38
Tucui Señorba ley shimii quillcashcara pactachishca huasha, Galileama tigranauca, paiguna quiquin Nazaret llactama.	Cuando cumplieron con todos los requisitos de la ley del Señor, volvieron a Galilea, a su ciudad de Nazaret	b.LUK.2.39
Caran huata Jesuspa yayauna Jerusalenma pascua nishca istama rinauca.	Iban sus padres todos los años a Jerusalén, para la fiesta de la Pascua	b.LUK.2.41
Huahua chunga ishqui huatayuj tucujpi, pariju Jerusalenma sicanauca, istai paiguna yachaira rangaj.	Cuando cumplió doce años, subieron ellos a Jerusalén conforme a la costumbre de la fiesta	b.LUK.2.42
Ista tucurishca huasha tigranauca, astaun huahua Jesús Jerusalembi saquirica, yayauna mana yachajllaira.	Una vez acabados los días de la fiesta, mientras ellos volvían, el niño Jesús se quedó en Jerusalén; y sus padres no lo supieron	b.LUK.2.43
Huahuara mana tarisha, Jerusalenma tigranauca paita mascangaj.	Como no le encontraron, volvieron a Jerusalén buscándole	b.LUK.2.45
Quinsa punzha pasashca huasha, huahuara templo huasii tupanauca, Moisés mandashca shimira yachachijguna chaupi shungüi tiajta, paigunara uyashas tapushas.	Aconteció que después de tres días, le encontraron en el templo, sentado en medio de los maestros, escuchándoles y haciéndoles preguntas	b.LUK.2.46
Tucui paita uyajguna paihua iyairas pai cutipashcaras uyasha manzharinauca.	Todos los que le oían se asombraban de su entendimiento y de sus respuestas	b.LUK.2.47
Shinajpi huahua Jesús paigunara nica: ¿Imaraigu mascahuacanguichi? ¿Manzhu yachacanguichi ñuca Yaya ranaunai tiana maní?	Entonces él les dijo:  ¿Por qué me buscabais? ¿No sabíais que en los asuntos de mi Padre me es necesario estar	b.LUK.2.49
Paigunaga huahua rimashcara mana intindinaucachu.	Pero ellos no entendieron el dicho que les habló	b.LUK.2.50
Jesús iñauca yachanais gracia nishca ali shungüis, Diospa ñaupajpi runauna ñaupajpis.	Y Jesús crecía en sabiduría, en estatura y en gracia para con Dios y los hombres	b.LUK.2.52
Tiberio César gobierno chunga pichca huatara tiaushcai, Poncio Pilato gobernador aca Judea partii, Herodes atun apu aca Galilea partii, paihua uqui Felipe atun apu aca Iturea Traconite partiunai, Lisanias atun apu aca Abilinia partii.	En el año quince del gobierno de Tiberio César, siendo Poncio Pilato procurador de Judea, Herodes tetrarca de Galilea, su hermano Felipe tetrarca de las regiones de Iturea y de Traconite, y Lisanias tetrarca de Abilinia	b.LUK.3.1
Juan tucui Jordan muyujta tiaj partiunama shamuca: Arrepentirichi nisha, bautisarichi canguna uchauna perdonai tucungaj,	Entonces él anduvo por toda la región alrededor del Jordán, predicando el bautismo del arrepentimiento para perdón de pecados	b.LUK.3.3
imasna quillcashcasna Diosmanda rimaj Isaías quillcashca quillcai: Runa illaj partii caparij runa: Señor purina nambira alichichi, nisha, paihua ñambiunara dirichuyachichi,	como está escrito en el libro de las palabras del profeta Isaías, que dice: Voz del que proclama en el desierto: "Preparad el camino del Señor; enderezad sus sendas	b.LUK.3.4
Tucui runa Diospa quishpichinara ricungami.	y toda carne verá la salvación de Dios.	b.LUK.3.6
Juanga bautisangaj llucshijgunama nica: Machacuimanda mirajguna cuenta, ¿pita cangunara yachachica shamuj piñarinamanda miticungaj?	Juan, pues, decía a las multitudes que salían para ser bautizadas por él:  ¡Generación de víboras! ¿Quién os enseñó a huir de la ira venidera	b.LUK.3.7
Arrepentirina tupu ranaunara raichi; ama callarichichu cangunapura rimangaj: Abrahanmi ñucanchi yaya, nisha; cangunara nini, cai rumiunamanda, Dios churiunara atarichina ushañmi Abrahambajta.	Producid, pues, fruto digno de arrepentimiento y no comencéis a decir dentro de vosotros mismos: "A Abraham tenemos por padre." Porque os digo que aun de estas piedras Dios puede levantar hijos a Abraham	b.LUK.3.8
Maspas, amallara yurauna sapii hachara ña churashcami	También el hacha ya está puesta a la raíz de los árboles	b.LUK.3.9
Tucui yura mana ali aparijpi cuchushca anga, ninai shitashca anga.	Por lo tanto, todo árbol que no da buen fruto es cortado y echado al fuego	b.LUK.3.9
Shinajpi runauna paita: ¿Imara rashun? ninauca.	Las multitudes le preguntaban diciendo:  Pues, ¿qué haremos	b.LUK.3.10
Cutipasha, Juan paigunara nica: Maican runa ishqui churanara charisha illajgunama cuyachu, micunara charij runa shinallara rachu.	Respondiendo les decía:  El que tiene dos túnicas dé al que no tiene, y el que tiene comida haga lo mismo	b.LUK.3.11
Paihuajma shamunauca bautisaringaj gobierno cullquira apijguna, paita nisha: Señor, ¿imara rashun ñucanchi?	También fueron unos publicanos para ser bautizados y le preguntaron:  Maestro, ¿qué haremos	b.LUK.3.12
Juan paigunara: Ama yapajta mañaichichu mandashcara yalisha, nica.	Él les decía:  No cobréis más de lo que os está ordenado	b.LUK.3.13
Shinallara soldarouna paita tapunauca, nisha: Nucanchisga, ¿imara rashun? Juan nica: Imaras ama dsas quichuichi runaunamanda, ama llullasha rimaichichu, canguna ganashca cullquihua cushi tucuichi.	También unos soldados le preguntaban diciendo:  Y nosotros, ¿qué haremos? Él les dijo:  No hagáis extorsión ni denunciéis falsamente a nadie, y contentaos con vuestros salarios	b.LUK.3.14
Tucui runauna chapausha, paiguna shungu ucui tapunauca: Cai runaga Cristochu anga manzhu Cristo anga, nisha.	Como el pueblo estaba a la expectativa, y todos especulaban en sus corazones si acaso Juan sería el Cristo	b.LUK.3.15
Paihua huairachina maquii tian, paihua cutana pambara pichangami, paihua trigo muyura tandachingami huacachina huasii, cararaga sindichingami huiñaigama mana huañuihuaj ninai.	Su aventador está en su mano para limpiar su era y juntar el trigo en su granero, pero quemará la paja en el fuego que nunca se apagará	b.LUK.3.17
Cai camachishcaunahua ashca shu camachishcaunahuas Juan runaunara ali shimiunara yachachica.	Así que, exhortando con estas y otras muchas cosas, anunciaba las buenas nuevas al pueblo	b.LUK.3.18
Shinajpi Herodes nishca atun apu, Juan paita camachishcaraigu Herodes paihua uqui Felipe huarmira apishcamanda, shinallara pai tucui manali rashcaunamanda,	Pero el tetrarca Herodes, cuando fue reprendido por Juan respecto de Herodía, la mujer de su hermano, y de todas las maldades que Herodes había hecho	b.LUK.3.19
tucui ñaupa manali rashcaunai yapachica, Juanda chonda cularbi ishcaca.	añadió a todo también esto: Encerró a Juan en la cárcel	b.LUK.3.20
Santo Espíritu paihua ahuai irgumuca, aichayuj cuenta, urpisna	y el Espíritu Santo descendió sobre él en forma corporal, como paloma	b.LUK.3.22
Ahua pachamanda shimi uyarica: Can ñuca llaquishca Churimi angui, nisha, cambajpi cushi ani.	Luego vino una voz del cielo: "Tú eres mi Hijo amado; en ti tengo complacencia.	b.LUK.3.22
Pai Matatpa churi, Levi churi, Melqui churi, Jana churi, José churi,	hijo de Elí, hijo de Matat, hijo de Leví, hijo de Melqui, hijo de Jana, hijo de José	b.LUK.3.24
Matatíaspa churi, Amospa churi, Nahum churi, Esli churi, Nagai churi,	hijo de Matatías, hijo de Amós, hijo de Nahúm, hijo de Esli	b.LUK.3.25
Maatpa churi, Matatíaspa churi, Semei churi, José churi, Judá churi,	hijo de Nagai, hijo de Maat, hijo de Matatías, hijo de Semei, hijo de José, hijo de Judá	b.LUK.3.26
Joana churi, Resa churi, Zorobabel churi, Salatiel churi, Neri churi,	hijo de Joanán, hijo de Resa, hijo de Zorobabel, hijo de Salatiel	b.LUK.3.27
Melqui churi, Adi churi, Cosam churi, Elmodam churi, Er churi,	hijo de Neri, hijo de Melqui, hijo de Adi, hijo de Cosam, hijo de Elmodam, hijo de Er	b.LUK.3.28
Josué churi, Eliezer churi, Jorim churi, Matat churi,	hijo de Josué, hijo de Eliezer, hijo de Jorim, hijo de Matat	b.LUK.3.29
Levi churi, Simeón churi, Judá churi, José churi, Jonan churi, Eliaquim churi,	hijo de Leví, hijo de Simeón, hijo de Judá, hijo de José, hijo de Jonán, hijo de Eliaquim	b.LUK.3.30
Melea churi, Mainán churi, Matata churi, Natán churi,	hijo de Melea, hijo de Mainán, hijo de Matata, hijo de Natán	b.LUK.3.31
David churi, Isai churi, Obed churi, Boozpa churi, Salmón churi, Naason churi.	hijo de David, hijo de Isaí, hijo de Obed, hijo de Boaz, hijo de Salá, hijo de Najsón	b.LUK.3.32
Aminadab churi, Aram churi, Esrom churi, Farespa churi, Judá churi,	hijo de Aminadab, hijo de Admín, hijo de Arní, hijo de Hesrón, hijo de Fares, hijo de Judá	b.LUK.3.33
Jacob churi, Isacpa churi, Abraham churi, Taré churi, Nacor churi,	hijo de Jacob, hijo de Isaac, hijo de Abraham, hijo de Taré	b.LUK.3.34
Serug churi, Ragau churi, Peleg churi, Heber churi, Sala churi,	hijo de Nacor, hijo de Serug, hijo de Ragau, hijo de Peleg, hijo de Heber, hijo de Sélaj	b.LUK.3.35
Cainan churi, Arfaxad churi, Sem churi, Noé churi, Lamec churi,	hijo de Cainán, hijo de Arfaxad, hijo de Sem, hijo de Noé	b.LUK.3.36
Matusalém churi, Enoc churi, Jared churi, Mahalaleeí churi, Cainán churi,	hijo de Lamec, hijo de Matusalén, hijo de Enoc, hijo de Jared, hijo de Mahalaleel, hijo de Cainán	b.LUK.3.37
Enos churi, Set churi, Adán churi, Diospa churi.	hijo de Enós, hijo de Set, hijo de Adán, hijo de Dios	b.LUK.3.38
Shinajpi supai apu paita nica: Can Diospa Churi ashaga, cai rumira rimai tanda tucuchu.	Entonces el diablo le dijo:  Si eres Hijo de Dios, di a esta piedra que se haga pan	b.LUK.4.3
Jesús paita cutipasha: Quillcashca tianmi, nica, Mana tandallahua runa causangachu, astaun tucui Dios rimashca shimiunahua.	Jesús le respondió:  Escrito está: No sólo de pan vivirá el hombre	b.LUK.4.4
Supai apu paita shu atun urcuma pushaca, tucui mundui tiaj llactaunara dsaslla ricuchica.	Al llevarle a una altura, le mostró todos los reinos de la tierra en un momento	b.LUK.4.5
Can tuama urmasha ñucara alabajpi, adorajpi, cushcangui tucuira.	Por esto, si tú me adoras, todo será tuyo	b.LUK.4.7
Jesús cutipasha paita nica: Anzhuri ñucajmanda, Satanás, quillcashca tian: Camba Señor Diosta adorana mangui, paulara sirvina angui.	Respondiendo Jesús, le dijo:  Escrito está: Al Señor tu Dios adorarás, y a él solo servirás	b.LUK.4.8
Quillcashca tian: Paihua angelgunara mandangami canda cuirangaj, supai apu nica.	Porque escrito está: A sus ángeles dará órdenes acerca de ti para que te guarden	b.LUK.4.10
Shinallara, Paiguna maquiunai canda apinaungami camba chaquira rumii ama nijtaringaj.	y en sus manos te llevarán, de modo que nunca tropieces con tu pie en piedra	b.LUK.4.11
Jesús cutipasha nica: Rimashca tian, Camba Señor Diosta ama tentanguichu.	Respondiendo Jesús le dijo:  Dicho está: No pondrás a prueba al Señor tu Dios	b.LUK.4.12
Tucui tentación nishca tucuríjpi, supai apu paimanda rica shu ratogama.	Cuando el diablo acabó toda tentación, se apartó de él por algún tiempo	b.LUK.4.13
Shu quillca paita cushca aca, Diosmanda rimaj Isaías quillcashca; Jesús quillcara pascasha, casna quillcashcara tupaca:	Se le entregó el rollo del profeta Isaías; y cuando abrió el rollo, encontró el lugar donde estaba escrito	b.LUK.4.17
Señorba Espíritu ñucahua tian, imasna ñucara talishca ali shimira rimangaj tsuntsuunama; ñucara cachamuca tormendarij shunguyujgunara alichingaj; ishcariajgunara rimangaj liuriyachingaj, ñausaunara rimangaj ricungaj; tormendachishcaunara llushpichingaj,	El Espíritu del Señor está sobre mí, porque me ha ungido para anunciar buenas nuevas a los pobres; me ha enviado para proclamar libertad a los cautivos y vista a los ciegos, para poner en libertad a los oprimido	b.LUK.4.18
Señor munashca huatara rimangaj.	y para proclamar el año agradable del Señor	b.LUK.4.19
Jesús quillcara ishcasha sirvijma cuca, tiarica	Después de enrollar el libro y devolverlo al ayudante, se sentó	b.LUK.4.20
Tucui tandarina huasii tiajguna paita ricunauca.	Y los ojos de todos en la sinagoga estaban fijos en él	b.LUK.4.20
Paigunara rimangaj callarica: Cuna punzha, nisha, cai Quillcashca Shimi pactarishcami canguna ñaupajpi.	Entonces comenzó a decirles:  Hoy se ha cumplido esta Escritura en vuestros oídos	b.LUK.4.21
