PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Pasaq kay pachapi kausaypi manan runaq kaqninkunapipas hap’ikuyta atinchu, Ichaqa suyu atillantaqmi	Los bienes de dominio público son inalienables e imprescriptibles
Llapan kaqninkuna sapanchasqa runaman qoyta, llank’aspa qolqechanakupaq, ichaqa kamachiman hina	Los bienes de uso público pueden ser concedidos a particulares conforme a ley, para su aprovechamiento económico
Suyuntinpi qolqe churaymanta hinaspa qolqe t’ituymanta	Del régimen tributario y presupuestal
Kamachi hunt’aypuni	Principio de Legalidad
Qelqa kamachiyllawanpunin kamakun, mit’akun, qolluchikun qolqe churay tantakuykunatapas, wakikuykunapata, qollunanpaqpas utaq manaña qolqe churaypaqpas, hoq neray tantakunapas, ichaqa kamachiy nisqanman hinallapunin atikunman, chaykuna ruwakuqpaq kamachikuy kaqtillan, Decreto Supremo nisqan chaninchaytaqa churan	Los tributos se crean, modifican o derogan, o se establece una exoneración, exclusivamente por ley o decreto legislativo en caso de delegación de facultades, salvo los aranceles y tasas, los cuales se regulan mediante decreto supremo
Sapanka huch’uy suyukunaq, llaqtakunaq hinaspa ayllukunaq alcalde nisqa warayuqkunan kamayta atinku, hoq neray qolqe churanapaqpas utaq qollunanpaqpas utaq manaña qolqe churaypaqpas, kikin llaqtanpiqa, ichaqa yupanchananmi kamachiykunata hinaspataqmi runaq allaukantapas qhawarispa, mana ima qolqe churaypas runaq kayninta supuyaq qechuyta atinkumanchu	Los Gobiernos Regionales y los Gobiernos Locales pueden crear, modificar y suprimir contribuciones y tasas, o exonerar de éstas, dentro de su jurisdicción, y con los límites que señala la ley, el Estado, al ejercer la potestad tributaria, debe respetar los principios de reserva de la ley, y los de igualdad y respeto de los derechos fundamentales de la persona, ningún tributo puede tener carácter confiscatorio
Manan osqay qelqa kamachiykuna hinaspapas decretos de urgencia nisqakunapas qolqe churaymanta rimayta atinmanchu	Las leyes de presupuesto y los decretos de urgencia no pueden contener normas sobre materia tributaria
Qolqe churaypaq kamachiykunaqa sapa watan qallarin hoq ñeqe enero nisqa qhapaq raymi killa qallariypi	Las leyes relativas a tributos de periodicidad anual rigen a partir del primero de enero del año siguiente a su promulgación
Mana hunt’anan mana allin kallpawan qolqe churanapaq kamachiykuna qosqaqa, kay artículo nisqa willayninman hina	No surten efecto las normas tributarias dictadas en violación de lo que establece el presente artículo
Llapan suyu runaq manun	De la Deuda Pública
Suyu rantinkanllanmi llaqtakunaq kamachiqninkuna qolqe manukusqankunata kutichinapaq Hatun Kamay Pirwa kamachiyninman hina	El Estado sólo garantiza el pago de la deuda pública contraída por gobiernos constitucionales de acuerdo con la Constitución y la ley
Ichaqa hawapi manukukunata utaq kikin suyu ukhupi manukunatapas chaskikun kamachiman hinallapuni	Las operaciones de endeudamiento interno y externo del Estado se aprueban conforme a ley
Municipios nisqa waraoyoq wasikuna atinku manukuyta ichaqa kaqninkunawan kutichinankupaq rantinkaspa, chay manukunankupaqqa manan pipas kamachinanchu	Los municipios pueden celebrar operaciones de crédito con cargo a sus recursos y bienes propios, sin requerir autorización legal
Mink’akuykunama hinaspa Licitación Pública nisqaman wajay	Obligatoriedad de la Contrata y Licitación Pública
Mayqen llank’aykunapas suyuq qolqenwan untaq ima kaqninkunawanpas ruwakunanpuni llapa qhatukunaman yachachispa ichapas haykuyta munankuman suyu rantin munasqanman	Las obras y la adquisición de suministros con utilización de fondos o recursos públicos se ejecutan obligatoriamente por contrata y licitación pública, así como también la adquisición o la enajenación de bienes
Ima rantiykunapas utaq llank’aykunapas, suyuq qolqe kayninman hinan ruwakunan	La contratación de servicios y proyectos cuya importancia y cuyo monto señala la Ley de Presupuesto se hace por concurso público
Kamachiymi willan imayna ruwakunanta hinaspa mana ruwaymantapas hinaspa llapan hunt’anankupaqpas	La ley establece el procedimiento, las excepciones y las respectivas responsabilidades
Suyupaq qolqe	Presupuesto Público
Qosqochasqa kamachikuypa, Musikuypa, financiera Suyuq qolqe kaqninmanta, sapa watamni t’aqakusqa qolqewanmi kausan	La administración económica y financiera del Estado se rige por el presupuesto que anualmente aprueba el Congreso
Qolqe t’ituyqa, iskay ñeqeyuqmi: Kikin Hatun Kamachiqpa hinaspa hukhu llaqtakunapaq	La estructura del presupuesto del sector público contiene dos secciones: gobierno central e instancias descentralizadas
Chay qolqe t’ituyqa llapa llaqtaq imayna kayninman hina rakikun, Ichataqmi runakunaq allin kausayninta rikuspa, hinaspa llaqtakunaq qhapaq kayninta rikuspa	El presupuesto asigna equitativamente los recursos públicos, su programación y ejecución responden a los criterios de eficiencia de necesidades sociales básicas y de descentralización
Hinaspa sapanka circunscripciones nisqakunaqmi kapun, kamachiman hina, llapan qhatusqakunamanta hinaspa Suyu qolqe chaskisqankumantapas chaskiymanpuni pacha suyuq kausayninkunamanta chaytaqmi sutchakun canon nisqa	Corresponden a las respectivas circunscripciones, conforme a ley, recibir una participación adecuada del total de los ingresos y rentas obtenidos por el Estado en la explotación de los recursos naturales en cada zona en calidad de canon
Manaraq kamachi suyupaq qolqemanta, manukuymanta hinaspa Equilibrio Financiero nisqamanta	Proyectos de Ley de Presupuesto, Endeudamiento y Equilibrio Financiero
Rimana Wasipi kamachiqmi apachin chay qolqe t’ituymanta qelqa rimayta Suyu kamachiqmaq ichaqa sapa wantami kinsa chunka p’unchaykama agosto nisqa qhapaq sitwa killa tukuypi haywanan	El Presidente de la República envía al Congreso el proyecto de Ley de Presupuesto dentro de un plazo que vence el 30 de agosto de cada año
Chay p’unchay yupaypitaqmi, apachillantaq hoq manukuypaq mañakuykunatapas chayman hina imaymana ratinapaq ruwanapaqpas qolqe kananpaq	En la misma fecha, envía también los proyectos de ley de endeudamiento y de equilibrio financiero
Chay qolqe t’ituyqa allin ruwasqan kanan	El proyecto presupuestal debe estar efectivamente equilibrado
Suyuq hatun qolqe marka wasin, hinaspa llaqta kamachiypi qolqe marka supupaq qolqe manusqankuqa mana qolqe t’ituyta hinachu yupakun	Los préstamos procedentes del Banco Central de Reserva o del Banco de la Nación no se contabilizan como ingreso fiscal
Manan chaskikunmanchu qolqe t’ituytaqa mana sichus llaqtaq manukuynin chaypi kutichinapaq churasqa kanaman cheyqa	No pueden cubrirse con empréstitos los gastos de carácter permanente
Manan qolqe t’ituy chaykikunmanchu sichus mana partida nisqa chay llapan Runakunapaq allin ruwaykuna manuki ruwakuna mana kaqtinqa	No puede aprobarse el presupuesto sin partida destinada al servicio de la deuda pública
Suyu qolqen rikuspapuni allin llank’aypaq kaynin	Restricciones en el Gasto Público
Rimana wasiq rantinpi Hatun Kamayoqkunaqa manan atinkuchu qoyta hinaspa yapayta qolqe chijchayta, ichaqa atinkun kikinkuq qolqe t’ituyninta yapaytapas pisiyachiytapas, ichaqa atinkun chay presupuesto nisqapi kasqantaqa	Los representantes ante el Congreso no tienen iniciativa para crear ni aumentar gastos públicos, salvo en lo que se refiere a su presupuesto
Rimana wasipi Kamayoqkunaqa manan atinchu rantinkayta yachasqa ruwaykunapaq, ichaqa atinmanmi sichus hatun kamayoq mañanman cheyqa	El Congreso no puede aprobar tributos con fines predeterminados, salvo por solicitud del Poder Ejecutivo
Hoq neray kasqanpitaqmi, qolqe t’ituymanta kamachikuna chay aswan allin chaskiykunamanta utaq qolqe hayway panpachasqa kananpaqtaqmi aswan ñaupaqtan Qolqe Rikuq Hach’awanqo Wasi ñaupaqta rikusqanman hinan kanmanqa	En cualquier otro caso, las leyes de índole tributaria referidas a beneficios o exoneraciones requieren previo informe del Ministerio de Economía y Finanzas
Kikin qelqasqa kamachi kamachisqallaman hinan, kamachisqa dos tercios nisqa Rimana Wasipi kamayoqninkuna munasqanllankupin, atikunman sapanchasqa tratamiento tributario nisqa hoq suyupi llaqtapaq qoytaqa	Sólo por ley expresa, aprobada por dos tercios de los congresistas, puede establecerse selectiva y temporalmente un tratamiento tributario especial para una determinada zona del país
Suyupaq Qolqe Qoymanta Rimay	Sustentación del Presupuesto Público
Qolqe Hach’awanqo Wasin, Hatun Rimana Wasiq kamachisqan hatun rimaypi willakunan imapin qolqeta pisiyachiyninta	El Ministro de Economía y Finanzas sustenta, ante el Pleno del Congreso de la República, el pliego de ingresos
Sapanka hach’awanqon riman imapin chu’usaqyachinku suyuq qolqenta ichaqa ñut’ayachispan chay sapanka ruwaykunamanta willananku ichaqa sapankaq ruwayninmanta hayk’a qolqetan churakuran chayta	Cada ministro sustenta los pliegos de egresos de su sector; previamente sustentan los resultados y metas de la ejecución del presupuesto del año anterior y los avances en la ejecución del presupuesto del año fiscal correspondiente
Paqtachay wasiq kamachiqnintaqmi, llaqtaq hatun amachaqen hinaspa kamayoqkuna Ajllana Wasipa Kamachiqninpas rimanankun sapanka t’aqataqapi ima ruwayninkupaqmi suyu qolqeta munanku chayta	El Presidente de la Corte Suprema, el Fiscal de la Nación y el Presidente del Jurado Nacional de Elecciones sustentan los pliegos correspondientes a cada institución
Sichus autógrafa nisqa chay Ley de Presupuesto nisqa mana kamachi qelqa Poder Ejecutivo nisqaman kinsa chunka p’unchay ayamarka killa hunt’aypi cheyqa, haykunmi hina hunt’asqa kananpaq chay manaraq kamachi, hinaspa chaytaqmi kanqa promulgado nisqa hoq decreto legislativo nisqa kamachiwan	Si la autógrafa de la Ley de Presupuesto no es remitida al Poder Ejecutivo hasta el treinta de noviembre, entra en vigencia el proyecto de este, que es promulgado por decreto legislativo
Chay créditos suplementarios, habilitaciones hinaspa transferencias de paridas nisqakunaqmi ima allin chaskisqa kananpaq Hatun Rimana Wasipi ima hunt’aykunatapas ruwana kikin chay watantinpaq suyupaq qolqe qochikuyninman hina	Los créditos suplementarios, habilitaciones y transferencias de partidas se tramitan ante el Congreso de la República tal como la Ley de Presupuesto
Sichus samakunapi ruwakuqtintaqmi, chay Comisión Permanente nisqawanmi rikuchinanku	Durante el receso parlamentario, se tramitan ante la Comisión Permanente
Allin chaskisqa kamachi kanapaqtaqmi chay kamachipi hatun Wasipi Umalliqninkunan tres quintos nisqa llapan llank’aqninkunamantan ajllayninkuta willakunanku	Para aprobarlos, se requiere los votos de los tres quintos del número legal de sus miembros
Suyupaq chay Cuenta General de la República nisqa	La Cuenta General de la República
Suyupaq chay Cuenta General de la República nisqa qolqe mañakuy, llapan suyu tukuq rikuy qelqakunawan Suyu Kamachiq haywan Rimana Wasiman ichaqa chunka pisqayoq p’unchay kausaypi tarpuy killapi manaraq mosoq wata qallariypi chayman hina hamuq watapaq chey qolqe kanapaq	La Cuenta General de la República, acompañada del informe de auditoría de la Contraloría General de la República, es remitida por el Presidente de la República al Congreso de la República en un plazo que vence el quince de agosto del año siguiente a la ejecución del presupuesto
Chay Cuenta General de la República nisqa qolqe mañakuytaqmi rikusqa hinaspa t’aqwisqa kan hoq rikuqkunawan chunka pisqayoq p’unchay kantaraki killakama	La Cuenta General de la República es examinada y dictaminada por una comisión revisora hasta el quince de octubre, el Congreso de la República se pronuncia en un plazo que vence el treinta de octubre
Sichus Rimana Wasi mana imatapas rimarinman cheyqa chay p’unchay yupaypi qosqa qhepan apachikunqa chay qelqa mañakuyta Suyuq Hatun Kamayoqman kamachi ruwakunanpaq	Si no hay pronunciamiento del Congreso de la República en el plazo señalado, se eleva el dictamen de la comisión revisora al Poder Ejecutivo para que este promulgue un decreto legislativo que contiene la Cuenta General de la República
Suyuq Tukuy Rikuq Wasin	La Contraloría General de la República
Suyuq Tukuy Rikuq Wasin sapan llank’ananpaq churasqa llapa llank’ayninkumanta ajllan hinaspa qolqentapas pay kikinmi rakin ima kausayninmanpas	La Contraloría General de la República es una entidad descentralizada de Derecho Público que goza de autonomía conforme a su ley orgánica
Aswan hatun qolqe yupana wasikunamanta	Es el órgano superior del Sistema Nacional de Control
Aswan hatun Llank’aq Kamayoq allin qolqe suyupi apakunantan rikun, allin imaymana Rantiy payllaytan rikun	Supervisa la legalidad de la ejecución del Presupuesto del Estado, de las operaciones de la deuda pública y de los actos de las instituciones sujetas a control
Suyuq Tukuy Rikuq runamanni Rimana Wasiq churasqanmi kan, ichaqa hatun kamayoq reqsichiqtin, llank’ananpaq qanchis wata, ichaqa rimana wasin horqonman llank’ananmanta sichus huchallisqa kanman cheyqa	El Contralor General es designado por el Congreso, a propuesta del Poder Ejecutivo, por siete años, puede ser removido por el Congreso por falta grave
Qolqemanta hinaspa qolqemarka wasimanta	De la moneda y la banca
Sistema monetario nisqa	El Sistema Monetario
Kamachiymi kamachikun imayna sistema monetario nisqa qolqe suyupi kanantapas	La ley determina el sistema monetario de la República
Qolqe ch’umaytapas, billete nisqa nit’iytapas, suyuq munayninmanta muchuqmi	La emisión de billetes y monedas es facultad exclusiva del Estado
Banco Central de Reserva del Perú nisqa qolqe Markamanta Kamachiq qolqe kayninta kamachikun	La ejerce por intermedio del Banco Central de Reserva del Perú
Perú Suyu Banco Central nisqa Qolqe Waqaychana Hatun Kamachiq Wasi	Banco Central de Reserva del Perú
Banco Central nisqa Qolqe Waqaychana Hatun Kamachiq Wasin, llaqta kamachiyman nisqa llank’aynin	El Banco Central es persona jurídica de derecho público
Payllamanta llank’ayninta ruwan mana piqpa kamachisqan rayku ichaqa kikin Ley Orgánica nisqa qelqanman hinallapuni	Tiene autonomía dentro del marco de su Ley Orgánica
Qolqe Waqaychana Hatun Wasiq kausayninqa suyuq qolqen allin rikunapaq, ruwayninkunan kan: qolqemanta rikuy hinaspa manukunamanta, llapan hawa llaqtamanta qhapaq kayninchis waqaychay, ichaqa kamayoq ruwayninpi	La finalidad del Banco Central es preservar la estabilidad monetaria, sus funciones son: regular la moneda y el crédito del sistema financiero, administrar las reservas internacionales a su cargo, y las demás funciones que señala su ley orgánica
Qolqe waqaychana hatun wasiqa manan atinchu pimanpas manuyta, ichaqa atinmi rantiyta huch’uy qhatukunapi kamachiyninma hinallapunitaqmi	El Banco informa al país, exacta y periódicamente, sobre el estado de las finanzas nacionales, bajo responsabilidad de su Directorio
Qolqe Waqaychana Hatun Wasiqqa manan atinchu mayqen llaqta kamachiypi llank’aq wasikunaman qolqe manuyninqa, ichaqa rantinankupaqqa atinmanmtaqmi, hoq secundario nisqa qhatupi ichaqa chay Tesoro Público nisqa qolqe churasqanman ichaqa chay Ley Orgánica nisqa qelqanman hinallapuni	El Banco está prohibido de conceder financiamiento al erario, salvo la compra, en el mercado secundario, de valores emitidos por el Tesoro Público, dentro del límite que señala su Ley Orgánica
Hawa suyumanta waqaychasqakuna	Reservas Internacionales
Qolqe Marka Waqaychana wasi atinmi qolqekunamanta rimay hinaspa rimaykunata qelqapi churay mana allin suyu Kausayninchis kaqtin	El Banco puede efectuar operaciones y celebrar convenios de crédito para cubrir desequilibrios transitorios en la posición de las reservas internacionales
